venue,year,publication_num
ACL,2017,302
ACL,2018,381
ACL,2019,660
ACML,2010,22
ACML,2011,23
ACML,2012,36
ACML,2013,32
ACML,2014,25
ACML,2015,28
ACML,2016,29
ACML,2017,41
ACML,2018,57
ACML,2019,78
AISTATS,2007,85
AISTATS,2009,84
AISTATS,2010,125
AISTATS,2011,106
AISTATS,2012,157
AISTATS,2013,71
AISTATS,2014,121
AISTATS,2015,126
AISTATS,2016,164
AISTATS,2017,167
AISTATS,2018,215
AISTATS,2019,360
COLT,2011,42
COLT,2012,46
COLT,2013,49
COLT,2014,60
COLT,2015,76
COLT,2016,69
COLT,2017,75
COLT,2018,93
COLT,2019,126
CVPR,2013,470
CVPR,2014,539
CVPR,2015,601
CVPR,2016,643
CVPR,2017,781
CVPR,2018,979
CVPR,2019,1292
ECCV,2018,776
EMNLP,2017,323
EMNLP,2018,549
EMNLP,2019,681
ICCV,2013,454
ICCV,2015,526
ICCV,2017,620
ICCV,2019,1072
ICML,2013,283
ICML,2014,310
ICML,2015,270
ICML,2016,322
ICML,2017,434
ICML,2018,621
ICML,2019,773
NIPS,1987,90
NIPS,1988,94
NIPS,1989,101
NIPS,1990,143
NIPS,1991,144
NIPS,1992,127
NIPS,1993,158
NIPS,1994,140
NIPS,1995,152
NIPS,1996,152
NIPS,1997,150
NIPS,1998,151
NIPS,1999,150
NIPS,2000,152
NIPS,2001,197
NIPS,2002,207
NIPS,2003,198
NIPS,2004,207
NIPS,2005,207
NIPS,2006,204
NIPS,2007,217
NIPS,2008,250
NIPS,2009,262
NIPS,2010,292
NIPS,2011,306
NIPS,2012,368
NIPS,2013,360
NIPS,2014,411
NIPS,2015,403
NIPS,2016,569
NIPS,2017,679
NIPS,2018,1009
NIPS,2019,1427
WACV,2020,378